Lease_ID,Property_ID,Tenant_Name,Suite,SF,Rent_PSF_Monthly,Annual_Rent,Escalation_Rate,Lease_Start,Lease_Expiration,Lease_Type
HRE-1006-P6-L4,HRE-1006-P6,Bell Group,130,2369,2.38,67658,0.02,2024-07-24,2027-07-29,NNN
HRE-1006-P6-L5,HRE-1006-P6,Andrews Inc,140,2230,2.91,77871,0.0,2024-07-24,2028-03-25,NNN
HRE-1006-P6-L6,HRE-1006-P6,Woods-White,150,2685,2.41,77650,0.025,2024-07-24,2030-09-11,NNN
HRE-1006-P6-L7,HRE-1006-P6,Watkins-Coffey,160,2266,3.47,94356,0.0,2024-07-24,2029-07-18,NNN
HRE-1006-P6-L8,HRE-1006-P6,Kelly-Mckinney,170,2354,3.33,94065,0.03,2024-07-24,2029-11-15,NNN
HRE-1006-P7-L1,HRE-1006-P7,Garcia Ltd,100,2166,2.7,70178,0.0,2024-07-24,2030-04-14,NNN
HRE-1006-P7-L2,HRE-1006-P7,Cannon LLC,110,2196,2.02,53231,0.0,2024-07-24,2027-11-26,NNN
HRE-1006-P7-L3,HRE-1006-P7,Coleman LLC,120,2351,3.28,92535,0.03,2024-07-24,2029-06-18,NNN
HRE-1006-P7-L4,HRE-1006-P7,Johnson-Payne,130,2539,2.3,70076,0.025,2024-07-24,2028-01-25,NNN
HRE-1006-P7-L5,HRE-1006-P7,Chavez LLC,140,2074,3.13,77899,0.03,2024-07-24,2027-08-28,NNN
HRE-1006-P7-L6,HRE-1006-P7,Peterson Group,150,2538,2.33,70962,0.025,2024-07-24,2027-05-30,NNN
HRE-1006-P7-L7,HRE-1006-P7,Dean-Baker,160,2088,2.72,68152,0.03,2024-07-24,2028-04-24,NNN
HRE-1006-P7-L8,HRE-1006-P7,Ford-Johnson,170,2314,3.2,88857,0.025,2024-07-24,2026-11-01,NNN
HRE-1006-P7-L9,HRE-1006-P7,Garcia Inc,180,2268,2.64,71850,0.02,2024-07-24,2028-03-25,NNN
HRE-1006-P7-L10,HRE-1006-P7,"Davis, Herrera and Bowen",190,2356,2.77,78313,0.02,2024-07-24,2026-12-31,NNN
HRE-1007-P1-L1,HRE-1007-P1,Savage and Sons,100,7894,2.01,190403,0.03,2024-07-24,2030-06-13,NNN
HRE-1007-P1-L2,HRE-1007-P1,"Wood, Olson and Allison",110,10443,2.14,268176,0.025,2024-07-24,2030-07-13,NNN
HRE-1007-P1-L3,HRE-1007-P1,Yates Group,120,8864,2.52,268047,0.025,2024-07-24,2029-03-20,NNN
HRE-1007-P1-L4,HRE-1007-P1,White-Anderson,130,7843,3.44,323759,0.02,2024-07-24,2030-01-14,NNN
HRE-1007-P1-L5,HRE-1007-P1,"Trevino, Carpenter and Rodriguez",140,8014,3.91,376016,0.02,2024-07-24,2026-12-31,NNN
HRE-1007-P1-L6,HRE-1007-P1,Sullivan-Johnson,150,10501,4.0,504048,0.0,2024-07-24,2029-06-18,NNN
HRE-1007-P1-L7,HRE-1007-P1,"Gardner, Collins and Miles",160,8569,2.65,272494,0.025,2024-07-24,2029-11-15,NNN
HRE-1007-P1-L8,HRE-1007-P1,Martinez-Morgan,170,9519,3.91,446631,0.03,2024-07-24,2028-03-25,NNN
HRE-1008-P1-L1,HRE-1008-P1,Apex Healthcare OpCo,Entire Facility,0,0.0,475012,0.02,2024-05-03,2035-02-25,Master Lease
HRE-1008-P2-L1,HRE-1008-P2,Apex Healthcare OpCo,Entire Facility,0,0.0,410916,0.02,2024-05-03,2035-02-25,Master Lease
HRE-1008-P3-L1,HRE-1008-P3,Apex Healthcare OpCo,Entire Facility,0,0.0,1152067,0.02,2024-05-03,2035-02-25,Master Lease
HRE-1009-P1-L1,HRE-1009-P1,Beacon Capital OpCo,Entire Facility,0,0.0,917967,0.02,2024-02-13,2034-12-07,Master Lease
HRE-1010-P1-L1,HRE-1010-P1,Silver Care Partners OpCo,Entire Facility,0,0.0,1627858,0.02,2023-03-22,2034-01-13,Master Lease
HRE-1011-P1-L1,HRE-1011-P1,Ramirez PLC,100,6331,3.34,253746,0.0,2024-07-24,2026-09-02,NNN
HRE-1011-P1-L2,HRE-1011-P1,"Hall, Thomas and Walker",110,7199,2.3,198692,0.03,2024-07-24,2028-06-23,NNN
HRE-1011-P1-L3,HRE-1011-P1,Mooney Ltd,120,5006,2.99,179615,0.0,2024-07-24,2026-07-04,NNN
HRE-1011-P2-L1,HRE-1011-P2,Williams-Mendoza,100,7784,2.03,189618,0.025,2024-07-24,2026-06-04,NNN
HRE-1011-P2-L2,HRE-1011-P2,"Gray, Woods and Cordova",110,8794,2.23,235327,0.0,2024-07-24,2027-03-01,NNN
HRE-1011-P2-L3,HRE-1011-P2,Hall and Sons,120,6424,2.69,207366,0.0,2024-07-24,2026-07-04,NNN
HRE-1011-P2-L4,HRE-1011-P2,Mcdaniel and Sons,130,7330,3.29,289388,0.03,2024-07-24,2029-05-19,NNN
HRE-1011-P3-L1,HRE-1011-P3,"Vincent, Johnson and Hughes",100,2564,3.18,97842,0.025,2024-07-24,2027-03-01,NNN
HRE-1011-P3-L2,HRE-1011-P3,"Long, Pacheco and Weaver",110,3030,2.79,101444,0.03,2024-07-24,2027-11-26,NNN
HRE-1011-P3-L3,HRE-1011-P3,Wallace-Boyd,120,3169,3.63,138041,0.02,2024-07-24,2027-04-30,NNN
HRE-1011-P3-L4,HRE-1011-P3,Lawson Inc,130,2616,3.35,105163,0.03,2024-07-24,2028-07-23,NNN
HRE-1011-P3-L5,HRE-1011-P3,Moyer-Hernandez,140,2832,2.12,72046,0.02,2024-07-24,2029-04-19,NNN
HRE-1011-P3-L6,HRE-1011-P3,Craig Group,150,2171,2.14,55751,0.025,2024-07-24,2026-11-01,NNN
HRE-1011-P3-L7,HRE-1011-P3,Warren-Lang,160,2993,2.08,74705,0.025,2024-07-24,2028-07-23,NNN
HRE-1011-P3-L8,HRE-1011-P3,"Black, Sawyer and Lopez",170,2211,3.03,80391,0.0,2024-07-24,2030-05-14,NNN
HRE-1011-P4-L1,HRE-1011-P4,"Lawrence, Marsh and Houston",100,127,3.75,5715,0.025,2024-07-24,2028-05-24,NNN
HRE-1011-P4-L2,HRE-1011-P4,Robles PLC,110,107,2.01,2580,0.03,2024-07-24,2026-11-01,NNN
HRE-1011-P4-L3,HRE-1011-P4,Perez Ltd,120,107,2.23,2863,0.025,2024-07-24,2026-10-02,NNN
HRE-1011-P4-L4,HRE-1011-P4,"Johnson, Glenn and Warner",130,90,3.98,4298,0.025,2024-07-24,2027-05-30,NNN
HRE-1011-P4-L5,HRE-1011-P4,Robinson Ltd,140,109,3.99,5218,0.0,2024-07-24,2030-10-11,NNN
HRE-1011-P4-L6,HRE-1011-P4,Carr Group,150,107,2.16,2773,0.025,2024-07-24,2028-07-23,NNN
HRE-1011-P4-L7,HRE-1011-P4,Smith and Sons,160,99,2.98,3540,0.025,2024-07-24,2029-09-16,NNN
HRE-1011-P4-L8,HRE-1011-P4,Costa-Benitez,170,123,3.78,5579,0.0,2024-07-24,2029-11-15,NNN
HRE-1011-P5-L1,HRE-1011-P5,"Wilson, Dominguez and Clark",100,8493,3.1,315939,0.0,2024-07-24,2028-03-25,NNN
HRE-1011-P5-L2,HRE-1011-P5,Bell-Howard,110,5980,3.34,239678,0.02,2024-07-24,2027-06-29,NNN
HRE-1011-P5-L3,HRE-1011-P5,Cox PLC,120,5981,2.31,165793,0.025,2024-07-24,2029-06-18,NNN
HRE-1011-P5-L4,HRE-1011-P5,"Reyes, Adkins and Bond",130,7874,2.22,209763,0.02,2024-07-24,2026-06-04,NNN
HRE-1011-P5-L5,HRE-1011-P5,Schmidt-Williams,140,6554,2.31,181676,0.0,2024-07-24,2027-05-30,NNN
HRE-1011-P5-L6,HRE-1011-P5,"Shaw, Rivera and Johnson",150,7786,3.76,351304,0.03,2024-07-24,2027-11-26,NNN
HRE-1011-P6-L1,HRE-1011-P6,"Gonzales, Fischer and Hess",100,551,2.54,16794,0.02,2024-07-24,2029-04-19,NNN
HRE-1011-P6-L2,HRE-1011-P6,"Cook, Graves and Rollins",110,535,3.4,21828,0.02,2024-07-24,2028-08-22,NNN
HRE-1011-P6-L3,HRE-1011-P6,"Herman, Davis and Melton",120,507,2.65,16122,0.03,2024-07-24,2030-06-13,NNN
HRE-1011-P6-L4,HRE-1011-P6,Miller-Holloway,130,568,2.5,17040,0.025,2024-07-24,2030-09-11,NNN
HRE-1011-P6-L5,HRE-1011-P6,"Chan, Bowers and Franklin",140,474,2.11,12001,0.02,2024-07-24,2027-07-29,NNN
HRE-1011-P6-L6,HRE-1011-P6,Jimenez Inc,150,529,3.22,20440,0.0,2024-07-24,2028-05-24,NNN
HRE-1011-P6-L7,HRE-1011-P6,"Garcia, Allen and Turner",160,652,2.29,17916,0.025,2024-07-24,2027-04-30,NNN
HRE-1011-P6-L8,HRE-1011-P6,"Smith, Jones and Gordon",170,623,2.16,16148,0.02,2024-07-24,2026-12-01,NNN
HRE-1011-P6-L9,HRE-1011-P6,"Morris, Cunningham and Brown",180,491,3.11,18324,0.02,2024-07-24,2028-01-25,NNN
HRE-1011-P7-L1,HRE-1011-P7,Russell-Guzman,100,10916,2.11,276393,0.0,2024-07-24,2029-11-15,NNN
HRE-1011-P7-L2,HRE-1011-P7,"Brooks, Knight and Walsh",110,7967,3.5,334614,0.02,2024-07-24,2026-07-04,NNN
HRE-1011-P7-L3,HRE-1011-P7,Snyder and Sons,120,8585,2.77,285365,0.025,2024-07-24,2026-09-02,NNN
HRE-1011-P7-L4,HRE-1011-P7,Bray LLC,130,8447,2.81,284832,0.03,2024-07-24,2030-07-13,NNN
HRE-1012-P1-L1,HRE-1012-P1,Silver Care Partners OpCo,Entire Facility,0,0.0,2389286,0.02,2024-05-18,2035-03-12,Master Lease
HRE-1012-P2-L1,HRE-1012-P2,Silver Care Partners OpCo,Entire Facility,0,0.0,321303,0.02,2024-05-18,2035-03-12,Master Lease
HRE-1012-P3-L1,HRE-1012-P3,Silver Care Partners OpCo,Entire Facility,0,0.0,168014,0.02,2024-05-18,2035-03-12,Master Lease
HRE-1012-P4-L1,HRE-1012-P4,Silver Care Partners OpCo,Entire Facility,0,0.0,110993,0.02,2024-05-18,2035-03-12,Master Lease
HRE-1012-P5-L1,HRE-1012-P5,Silver Care Partners OpCo,Entire Facility,0,0.0,1220585,0.02,2024-05-18,2035-03-12,Master Lease
HRE-1012-P6-L1,HRE-1012-P6,Silver Care Partners OpCo,Entire Facility,0,0.0,144693,0.02,2024-05-18,2035-03-12,Master Lease
HRE-1012-P7-L1,HRE-1012-P7,Silver Care Partners OpCo,Entire Facility,0,0.0,135617,0.02,2024-05-18,2035-03-12,Master Lease
HRE-1012-P8-L1,HRE-1012-P8,Silver Care Partners OpCo,Entire Facility,0,0.0,733087,0.02,2024-05-18,2035-03-12,Master Lease
HRE-1013-P1-L1,HRE-1013-P1,Benitez LLC,100,4373,2.03,106526,0.0,2024-07-24,2029-12-15,NNN
HRE-1013-P1-L2,HRE-1013-P1,Chapman-Ramirez,110,4899,2.4,141091,0.0,2024-07-24,2028-09-21,NNN
HRE-1013-P1-L3,HRE-1013-P1,Ryan Inc,120,3788,3.2,145459,0.03,2024-07-24,2027-08-28,NNN
HRE-1013-P1-L4,HRE-1013-P1,Berg Ltd,130,4762,3.57,204004,0.03,2024-07-24,2029-11-15,NNN
HRE-1013-P1-L5,HRE-1013-P1,Mendez-Edwards,140,4175,2.09,104709,0.03,2024-07-24,2028-02-24,NNN
HRE-1013-P1-L6,HRE-1013-P1,Paul PLC,150,5252,3.44,216802,0.0,2024-07-24,2027-01-30,NNN
HRE-1013-P1-L7,HRE-1013-P1,"Bailey, Baker and Foley",160,4508,2.81,152009,0.0,2024-07-24,2028-08-22,NNN
HRE-1013-P1-L8,HRE-1013-P1,Walsh-Sherman,170,4809,2.56,147732,0.02,2024-07-24,2029-06-18,NNN
HRE-1013-P1-L9,HRE-1013-P1,"Perez, Smith and Russell",180,4046,2.07,100502,0.0,2024-07-24,2028-07-23,NNN
HRE-1013-P1-L10,HRE-1013-P1,Andrews-Le,190,4897,3.55,208612,0.02,2024-07-24,2030-11-10,NNN
HRE-1014-P1-L1,HRE-1014-P1,Johnson PLC,100,532,2.99,19088,0.02,2024-07-24,2030-05-14,NNN
HRE-1014-P1-L2,HRE-1014-P1,Todd-Williams,110,475,2.96,16872,0.03,2024-07-24,2027-11-26,NNN
HRE-1014-P1-L3,HRE-1014-P1,"Boyd, Coleman and Osborne",120,472,3.9,22089,0.0,2024-07-24,2029-12-15,NNN
HRE-1014-P1-L4,HRE-1014-P1,Miller-Crawford,130,496,2.45,14582,0.02,2024-07-24,2029-11-15,NNN
HRE-1014-P1-L5,HRE-1014-P1,"Young, Buchanan and Raymond",140,582,2.89,20183,0.025,2024-07-24,2029-03-20,NNN
HRE-1014-P1-L6,HRE-1014-P1,Ramirez-Hartman,150,555,2.63,17515,0.0,2024-07-24,2028-09-21,NNN
HRE-1014-P1-L7,HRE-1014-P1,"Jordan, Francis and Smith",160,410,3.71,18253,0.03,2024-07-24,2029-09-16,NNN
HRE-1014-P1-L8,HRE-1014-P1,"Kemp, Butler and Thompson",170,582,2.09,14596,0.02,2024-07-24,2029-09-16,NNN
HRE-1014-P2-L1,HRE-1014-P2,"Hancock, Davis and Palmer",100,978,2.34,27462,0.025,2024-07-24,2030-07-13,NNN
HRE-1014-P2-L2,HRE-1014-P2,Potter-Rodriguez,110,1065,3.19,40768,0.025,2024-07-24,2029-07-18,NNN
HRE-1014-P2-L3,HRE-1014-P2,Baker Group,120,843,2.87,29032,0.03,2024-07-24,2030-09-11,NNN
HRE-1014-P3-L1,HRE-1014-P3,Hernandez-Young,100,8334,3.18,318025,0.03,2024-07-24,2028-05-24,NNN
HRE-1014-P3-L2,HRE-1014-P3,"Shaffer, Robertson and Lee",110,6586,2.02,159644,0.02,2024-07-24,2027-05-30,NNN
HRE-1014-P3-L3,HRE-1014-P3,Carr-Schmidt,120,6336,3.02,229616,0.0,2024-07-24,2026-10-02,NNN
HRE-1014-P3-L4,HRE-1014-P3,"Jennings, Dudley and Hunter",130,8377,3.22,323687,0.02,2024-07-24,2026-08-03,NNN
HRE-1014-P3-L5,HRE-1014-P3,Dalton and Sons,140,6300,3.85,291060,0.03,2024-07-24,2028-12-20,NNN
HRE-1014-P4-L1,HRE-1014-P4,Smith-Huber,100,630,2.34,17690,0.0,2024-07-24,2027-03-01,NNN
HRE-1014-P4-L2,HRE-1014-P4,"Thompson, Campbell and Haas",110,642,2.51,19337,0.025,2024-07-24,2028-02-24,NNN
HRE-1014-P4-L3,HRE-1014-P4,"Rice, Goodman and Gray",120,627,2.98,22421,0.025,2024-07-24,2026-07-04,NNN
HRE-1014-P4-L4,HRE-1014-P4,"Malone, George and Henderson",130,805,2.3,22217,0.025,2024-07-24,2030-02-13,NNN
HRE-1014-P4-L5,HRE-1014-P4,Long PLC,140,730,2.4,21024,0.03,2024-07-24,2027-01-30,NNN
HRE-1014-P4-L6,HRE-1014-P4,"Miller, Porter and Smith",150,579,3.83,26610,0.02,2024-07-24,2029-03-20,NNN
HRE-1014-P4-L7,HRE-1014-P4,Baxter LLC,160,616,2.05,15153,0.02,2024-07-24,2026-07-04,NNN
HRE-1014-P4-L8,HRE-1014-P4,Adkins-Rhodes,170,646,3.15,24418,0.0,2024-07-24,2027-03-31,NNN
HRE-1014-P4-L9,HRE-1014-P4,Young PLC,180,647,3.92,30434,0.025,2024-07-24,2027-10-27,NNN
HRE-1014-P4-L10,HRE-1014-P4,Peck-Fields,190,765,3.87,35526,0.0,2024-07-24,2029-11-15,NNN
HRE-1014-P5-L1,HRE-1014-P5,Fox Inc,100,4446,3.84,204871,0.03,2024-07-24,2027-11-26,NNN
HRE-1014-P5-L2,HRE-1014-P5,Campbell Group,110,4367,3.13,164024,0.02,2024-07-24,2028-10-21,NNN
HRE-1014-P5-L3,HRE-1014-P5,Payne Inc,120,4683,2.53,142175,0.025,2024-07-24,2026-12-01,NNN
HRE-1014-P5-L4,HRE-1014-P5,Perez Ltd,130,4140,3.14,155995,0.025,2024-07-24,2027-11-26,NNN
HRE-1014-P5-L5,HRE-1014-P5,Klein PLC,140,3246,2.09,81409,0.0,2024-07-24,2028-11-20,NNN
HRE-1014-P5-L6,HRE-1014-P5,Collins-Gamble,150,3929,3.9,183877,0.02,2024-07-24,2028-12-20,NNN
HRE-1014-P5-L7,HRE-1014-P5,Flowers-Jackson,160,3630,2.62,114127,0.025,2024-07-24,2030-09-11,NNN
HRE-1014-P6-L1,HRE-1014-P6,Campos-Lopez,100,2821,3.39,114758,0.025,2024-07-24,2028-09-21,NNN
HRE-1014-P6-L2,HRE-1014-P6,Jones-Wilson,110,2877,2.45,84583,0.025,2024-07-24,2027-05-30,NNN
HRE-1014-P6-L3,HRE-1014-P6,"Molina, Bailey and Romero",120,3138,3.7,139327,0.0,2024-07-24,2026-07-04,NNN
HRE-1014-P6-L4,HRE-1014-P6,Baxter Inc,130,3815,3.05,139629,0.03,2024-07-24,2026-12-01,NNN
HRE-1014-P6-L5,HRE-1014-P6,"Reynolds, Moore and Henderson",140,3486,2.85,119221,0.025,2024-07-24,2027-01-30,NNN
HRE-1014-P6-L6,HRE-1014-P6,Collier-Singleton,150,3862,3.56,164984,0.025,2024-07-24,2027-12-26,NNN
HRE-1014-P6-L7,HRE-1014-P6,Clark and Sons,160,3004,3.62,130493,0.0,2024-07-24,2029-08-17,NNN
