Deal_ID,Deal_Name,Sponsor,Structure,Deal_Type,Closing_Date,Aggregate_Loan_Amount,Aggregate_Valuation,LTV,Interest_Rate,Spread_bps,LTC,Cap_Rate,Debt_Yield,DSCR,Total_Cost,NOI
HRE-1113,Apex Healthcare Life Science facility,Apex Healthcare,Single Asset,Refinance,2023-12-15,9600000,15500000,0.62,0.0898,448,0.64,0.0927,0.1496,1.67,14884806,1436151
HRE-1114,Apex Healthcare Skilled Nursing Portfolio,Apex Healthcare,Portfolio,Refinance,2025-04-24,26700000,40400000,0.66,0.091,380,0.62,0.0885,0.1339,1.47,43089106,3574195
HRE-1115,Silver Care Partners Life Science facility,Silver Care Partners,Single Asset,Acquisition,2025-05-15,3400000,5000000,0.68,0.0908,378,0.7,0.0904,0.1329,1.46,4825783,451802
HRE-1116,Beacon Capital Life Science facility,Beacon Capital,Single Asset,Acquisition,2023-12-28,21200000,33700000,0.63,0.0897,447,0.6,0.0931,0.148,1.65,35295056,3137625
HRE-1117,Midwest Health Ops Life Science Portfolio,Midwest Health Ops,Portfolio,Construction,2024-11-25,16800000,25900000,0.65,0.0851,401,0.6,0.0904,0.1394,1.64,27888415,2341880
HRE-1118,Beacon Capital Life Science Portfolio,Beacon Capital,Portfolio,Acquisition,2024-03-23,20700000,33900000,0.61,0.0885,435,0.62,0.0934,0.1529,1.73,33480731,3165952
HRE-1119,Apex Healthcare Senior Housing facility,Apex Healthcare,Single Asset,Acquisition,2025-02-10,5300000,8100000,0.65,0.092,390,0.67,0.085,0.1299,1.41,7907269,688279
HRE-1120,Silver Care Partners Medical Office Portfolio,Silver Care Partners,Portfolio,Refinance,2025-08-13,14800000,21100000,0.7,0.0895,365,0.71,0.0908,0.1294,1.45,20948925,1915479
HRE-1121,Apex Healthcare Medical Office facility,Apex Healthcare,Single Asset,Refinance,2025-04-07,18300000,26100000,0.7,0.0913,383,0.73,0.0868,0.1238,1.36,24990942,2264628
HRE-1122,Midwest Health Ops Medical Office facility,Midwest Health Ops,Single Asset,Refinance,2024-04-30,16800000,27500000,0.61,0.088,430,0.61,0.0937,0.1534,1.74,27341496,2577209
HRE-1123,Silver Care Partners Medical Office Portfolio,Silver Care Partners,Portfolio,Acquisition,2024-04-02,15500000,24200000,0.64,0.0883,433,0.63,0.0942,0.1471,1.67,24581072,2280480
HRE-1124,Silver Care Partners Medical Office facility,Silver Care Partners,Single Asset,Acquisition,2024-01-03,8500000,14000000,0.61,0.0896,446,0.6,0.0988,0.1627,1.82,14164871,1382565
HRE-1125,Beacon Capital Skilled Nursing facility,Beacon Capital,Single Asset,Refinance,2024-09-17,19300000,30600000,0.63,0.086,410,0.63,0.0945,0.1498,1.74,30796730,2890562
HRE-1126,Silver Care Partners Senior Housing facility,Silver Care Partners,Single Asset,Refinance,2024-04-18,19500000,31500000,0.62,0.0881,431,0.59,0.0909,0.1468,1.67,33325623,2862830
HRE-1127,Apex Healthcare Medical Office facility,Apex Healthcare,Single Asset,Refinance,2024-02-13,8500000,13500000,0.63,0.089,440,0.66,0.0944,0.1499,1.68,12877478,1274020
HRE-1128,Beacon Capital Senior Housing facility,Beacon Capital,Single Asset,Acquisition,2024-02-29,10500000,15900000,0.66,0.0888,438,0.69,0.0971,0.1471,1.66,15283042,1544569
HRE-1129,Apex Healthcare Medical Office facility,Apex Healthcare,Single Asset,Acquisition,2024-11-04,10300000,15800000,0.65,0.0854,404,0.62,0.0898,0.1377,1.61,16548196,1418611
HRE-1130,Apex Healthcare Skilled Nursing Portfolio,Apex Healthcare,Portfolio,Construction,2024-12-15,30700000,48000000,0.64,0.0928,398,0.58,0.0875,0.1368,1.47,52625886,4199716
HRE-1131,Silver Care Partners Skilled Nursing facility,Silver Care Partners,Single Asset,Refinance,2025-01-06,7100000,10400000,0.68,0.0925,395,0.65,0.0889,0.1302,1.41,10913676,924504
HRE-1132,Beacon Capital Senior Housing facility,Beacon Capital,Single Asset,Acquisition,2025-10-28,16900000,24200000,0.7,0.0885,355,0.69,0.0857,0.1228,1.39,24335773,2074947
HRE-1133,Midwest Health Ops Senior Housing Portfolio,Midwest Health Ops,Portfolio,Acquisition,2025-08-10,26900000,37400000,0.72,0.0896,366,0.71,0.0883,0.1227,1.37,37894423,3301605
HRE-1134,Apex Healthcare Medical Office Portfolio,Apex Healthcare,Portfolio,Refinance,2024-12-17,36000000,57100000,0.63,0.0928,398,0.58,0.0882,0.1399,1.51,62066230,5036572
HRE-1135,Silver Care Partners Senior Housing facility,Silver Care Partners,Single Asset,Acquisition,2025-06-10,10100000,14400000,0.7,0.0904,374,0.68,0.0832,0.1187,1.31,14919195,1198742
HRE-1136,Beacon Capital Senior Housing facility,Beacon Capital,Single Asset,Acquisition,2024-07-11,13800000,22200000,0.62,0.087,420,0.64,0.0917,0.1475,1.69,21421299,2034842
HRE-1137,Silver Care Partners Medical Office Portfolio,Silver Care Partners,Portfolio,Acquisition,2025-06-23,22100000,32500000,0.68,0.0902,372,0.67,0.0918,0.135,1.5,33205677,2984593
HRE-1138,Beacon Capital Skilled Nursing facility,Beacon Capital,Single Asset,Refinance,2024-10-24,12000000,19000000,0.63,0.0855,405,0.6,0.0873,0.1382,1.62,20026363,1657942
HRE-1139,Silver Care Partners Senior Housing facility,Silver Care Partners,Single Asset,Acquisition,2024-11-18,4500000,6900000,0.65,0.0852,402,0.6,0.0874,0.134,1.57,7527587,602925
HRE-1140,Beacon Capital Life Science facility,Beacon Capital,Single Asset,Acquisition,2024-06-07,6900000,10900000,0.63,0.0874,424,0.66,0.0927,0.1464,1.68,10525312,1010329
HRE-1141,Apex Healthcare Medical Office facility,Apex Healthcare,Single Asset,Acquisition,2024-07-17,6700000,10000000,0.67,0.0869,419,0.62,0.0882,0.1316,1.51,10856718,881880
