Deal_ID,Deal_Name,Sponsor,Structure,Deal_Type,Closing_Date,Aggregate_Loan_Amount,Aggregate_Valuation,LTV,Interest_Rate,Spread_bps,Maturity_Date,Term_Months,LTC,Cap_Rate,Debt_Yield,DSCR,Total_Cost,NOI
HRE-2024-117,Midwest Health Ops Senior Housing Portfolio,Midwest Health Ops,Portfolio,Acquisition,2024-11-30,17200000,27700000,0.62,0.0955,462,2029-11-04,60,0.57,0.09,0.1449,1.52,30053017,2493000
HRE-2024-118,Silver Care Partners Medical Office Portfolio,Silver Care Partners,Portfolio,Acquisition,2024-02-20,35300000,57000000,0.62,0.0846,325,2029-01-24,60,0.65,0.08,0.1292,1.53,54280327,4560000
HRE-2024-119,Apex Healthcare Skilled Nursing Facility,Apex Healthcare,Single Asset,Acquisition,2024-11-25,22300000,27200000,0.82,0.1209,724,2031-10-20,84,0.75,0.115,0.1403,1.16,29636243,3128000
HRE-2024-120,Apex Healthcare Medical Office Facility,Apex Healthcare,Single Asset,Construction,2024-09-23,6600000,11800000,0.56,0.0876,385,2027-09-08,36,0.54,0.08,0.143,1.63,12284592,944000
HRE-2024-121,Silver Care Partners Senior Housing Portfolio,Silver Care Partners,Portfolio,Acquisition,2024-02-25,65600000,99400000,0.66,0.0934,416,2031-01-19,84,0.63,0.09,0.1364,1.46,103761209,8946000
HRE-2024-122,Silver Care Partners Life Science Portfolio,Silver Care Partners,Portfolio,Refinance,2024-10-26,43800000,87500000,0.5,0.0904,419,2031-09-20,84,0.46,0.0825,0.1648,1.82,95791090,7218750
HRE-2024-123,Apex Healthcare Medical Office Facility,Apex Healthcare,Single Asset,Acquisition,2025-09-20,9400000,13000000,0.72,0.0809,343,2032-08-14,84,0.71,0.0736,0.1018,1.26,13299763,956800
HRE-2024-124,Beacon Capital Medical Office Facility,Beacon Capital,Single Asset,Refinance,2025-04-04,7400000,11700000,0.63,0.0794,307,2030-03-09,60,0.67,0.0691,0.1093,1.38,10976097,808469
HRE-2024-125,Apex Healthcare Senior Housing Facility,Apex Healthcare,Single Asset,Refinance,2025-03-31,4700000,8000000,0.59,0.0909,441,2032-02-23,84,0.6,0.09,0.1532,1.69,7776859,720000
HRE-2024-126,Midwest Health Ops Senior Housing Facility,Midwest Health Ops,Single Asset,Refinance,2024-02-29,4900000,8000000,0.61,0.0909,378,2034-01-07,120,0.65,0.088,0.1437,1.58,7503703,704000
HRE-2024-127,Apex Healthcare Medical Office Facility,Apex Healthcare,Single Asset,Acquisition,2025-11-15,16500000,23200000,0.71,0.0864,411,2030-10-20,60,0.66,0.0758,0.1066,1.23,25186083,1758560
HRE-2024-128,Midwest Health Ops Senior Housing Facility,Midwest Health Ops,Single Asset,Acquisition,2025-03-03,12700000,18900000,0.67,0.0911,422,2032-01-26,84,0.63,0.0893,0.1329,1.46,20068235,1687770
HRE-2024-129,Apex Healthcare Medical Office Facility,Apex Healthcare,Single Asset,Acquisition,2024-10-06,14200000,20900000,0.68,0.0878,385,2034-08-15,120,0.71,0.08,0.1177,1.34,19966961,1672000
HRE-2024-130,Midwest Health Ops Skilled Nursing Facility,Midwest Health Ops,Single Asset,Acquisition,2025-07-21,14300000,17200000,0.83,0.128,814,2032-06-14,84,0.9,0.115,0.1383,1.08,15823897,1978000
HRE-2024-131,Midwest Health Ops Life Science Facility,Midwest Health Ops,Single Asset,Construction,2025-02-21,5300000,12400000,0.43,0.0932,441,2028-02-06,36,0.4,0.0844,0.1975,2.12,13145895,1046560
HRE-2024-132,Apex Healthcare Medical Office Facility,Apex Healthcare,Single Asset,Acquisition,2024-12-29,15200000,22400000,0.68,0.0877,387,2031-11-23,84,0.65,0.08,0.1179,1.34,23446605,1792000
HRE-2024-133,Apex Healthcare Medical Office Portfolio,Apex Healthcare,Portfolio,Acquisition,2025-01-14,22100000,29500000,0.75,0.0859,371,2029-12-19,60,0.71,0.08,0.1068,1.24,30944126,2360000
HRE-2024-134,Apex Healthcare Skilled Nursing Facility,Apex Healthcare,Single Asset,Acquisition,2024-07-15,24000000,30400000,0.79,0.1203,694,2029-06-19,60,0.84,0.115,0.1457,1.21,28637881,3496000
HRE-2024-135,Silver Care Partners Senior Housing Facility,Silver Care Partners,Single Asset,Construction,2025-07-08,7700000,14300000,0.54,0.0947,477,2028-06-22,36,0.57,0.09,0.1671,1.76,13573357,1287000
HRE-2024-136,Beacon Capital Medical Office Facility,Beacon Capital,Single Asset,Acquisition,2024-10-02,10500000,16400000,0.64,0.0805,313,2034-08-11,120,0.66,0.08,0.125,1.55,16018408,1312000
HRE-2024-137,Beacon Capital Medical Office Facility,Beacon Capital,Single Asset,Acquisition,2025-06-19,11400000,16000000,0.71,0.085,390,2030-05-24,60,0.79,0.08,0.1123,1.32,14451241,1280000
HRE-2024-138,Apex Healthcare Medical Office Facility,Apex Healthcare,Single Asset,Construction,2024-08-14,14000000,23000000,0.61,0.0848,353,2027-07-30,36,0.62,0.08,0.1314,1.55,22705748,1840000
HRE-2024-139,Silver Care Partners Life Science Facility,Silver Care Partners,Single Asset,Refinance,2025-09-24,6600000,12700000,0.52,0.0865,405,2032-08-18,84,0.53,0.0827,0.1591,1.84,12423533,1050290
HRE-2024-140,Silver Care Partners Medical Office Facility,Silver Care Partners,Single Asset,Refinance,2025-02-21,8600000,14500000,0.59,0.0839,350,2030-01-26,60,0.59,0.08,0.1349,1.61,14559402,1160000
HRE-2024-141,Beacon Capital Skilled Nursing Portfolio,Beacon Capital,Portfolio,Acquisition,2024-03-03,40100000,51400000,0.78,0.1215,697,2031-01-26,84,0.81,0.115,0.1474,1.21,49338495,5911000
HRE-2024-142,Beacon Capital Medical Office Facility,Beacon Capital,Single Asset,Refinance,2025-10-24,5000000,8000000,0.63,0.0709,263,2032-09-17,84,0.62,0.0647,0.1035,1.46,8016176,517599
HRE-2024-143,Midwest Health Ops Medical Office Portfolio,Midwest Health Ops,Portfolio,Acquisition,2024-06-02,16400000,23800000,0.69,0.0879,368,2029-05-07,60,0.74,0.08,0.1161,1.32,22310598,1904000
HRE-2024-144,Beacon Capital Senior Housing Facility,Beacon Capital,Single Asset,Acquisition,2025-07-29,12800000,17100000,0.75,0.0969,504,2030-07-03,60,0.82,0.0896,0.1197,1.24,15668413,1532160
HRE-2024-145,Silver Care Partners Medical Office Facility,Silver Care Partners,Single Asset,Refinance,2024-07-29,14100000,23900000,0.59,0.0779,268,2034-06-07,120,0.57,0.0705,0.1195,1.53,24602754,1684949
HRE-2024-146,Beacon Capital Medical Office Portfolio,Beacon Capital,Portfolio,Refinance,2024-07-21,47900000,71500000,0.67,0.0817,312,2031-06-15,84,0.7,0.0726,0.1084,1.33,68728830,5190900
HRE-2024-147,Silver Care Partners Senior Housing Facility,Silver Care Partners,Single Asset,Refinance,2024-06-01,18200000,30900000,0.59,0.0835,319,2031-04-26,84,0.57,0.0736,0.125,1.5,31838003,2274240
HRE-2024-148,Midwest Health Ops Medical Office Portfolio,Midwest Health Ops,Portfolio,Refinance,2024-04-04,24300000,39900000,0.61,0.0825,316,2029-03-09,60,0.59,0.0727,0.1194,1.45,40956818,2900730
HRE-2024-149,Midwest Health Ops Medical Office Facility,Midwest Health Ops,Single Asset,Acquisition,2024-07-17,7400000,11900000,0.62,0.0859,355,2031-06-11,84,0.61,0.08,0.1286,1.5,12042692,952000
HRE-2024-150,Silver Care Partners Skilled Nursing Facility,Silver Care Partners,Single Asset,Acquisition,2025-11-25,9400000,12500000,0.75,0.1128,684,2030-10-30,60,0.79,0.1067,0.1419,1.26,11896868,1333750
HRE-2024-151,Beacon Capital Senior Housing Facility,Beacon Capital,Single Asset,Acquisition,2025-09-05,21400000,28500000,0.75,0.098,518,2035-07-15,120,0.76,0.0882,0.1175,1.2,28133964,2513700
HRE-2024-152,Midwest Health Ops Skilled Nursing Facility,Midwest Health Ops,Single Asset,Acquisition,2024-12-29,19600000,26100000,0.75,0.117,682,2034-11-07,120,0.72,0.115,0.1531,1.31,27121353,3001500
HRE-2024-153,Apex Healthcare Medical Office Portfolio,Apex Healthcare,Portfolio,Acquisition,2024-09-29,24400000,35300000,0.69,0.0884,390,2029-09-03,60,0.69,0.08,0.1157,1.31,35122695,2824000
HRE-2024-154,Midwest Health Ops Skilled Nursing Facility,Midwest Health Ops,Single Asset,Acquisition,2025-09-11,8700000,11500000,0.76,0.1131,665,2032-08-05,84,0.83,0.115,0.152,1.34,10450624,1322500
HRE-2024-155,Midwest Health Ops Medical Office Facility,Midwest Health Ops,Single Asset,Refinance,2024-01-08,13800000,23800000,0.58,0.0861,331,2028-12-12,60,0.56,0.08,0.138,1.6,24805161,1904000
HRE-2024-156,Apex Healthcare Life Science Facility,Apex Healthcare,Single Asset,Acquisition,2024-12-21,13900000,21400000,0.65,0.0812,332,2034-10-30,120,0.69,0.0689,0.1061,1.31,20177902,1474460
HRE-2024-157,Silver Care Partners Life Science Portfolio,Silver Care Partners,Portfolio,Refinance,2025-10-04,18500000,36200000,0.51,0.0895,434,2035-08-13,120,0.53,0.085,0.1663,1.86,34998788,3077000
HRE-2024-158,Beacon Capital Senior Housing Portfolio,Beacon Capital,Portfolio,Acquisition,2025-07-14,18400000,27500000,0.67,0.0906,436,2032-06-07,84,0.68,0.0859,0.1284,1.42,27186985,2362250
HRE-2024-159,Silver Care Partners Life Science Portfolio,Silver Care Partners,Portfolio,Acquisition,2024-10-03,30000000,49200000,0.61,0.0888,383,2034-08-12,120,0.58,0.0749,0.1228,1.38,51525480,3685079
HRE-2024-160,Silver Care Partners Medical Office Facility,Silver Care Partners,Single Asset,Refinance,2024-07-10,8900000,15100000,0.59,0.0774,276,2031-06-04,84,0.63,0.0763,0.1295,1.67,14176489,1152130
HRE-2024-161,Beacon Capital Senior Housing Facility,Beacon Capital,Single Asset,Acquisition,2025-07-22,5800000,8300000,0.7,0.0929,454,2030-06-26,60,0.7,0.09,0.1288,1.39,8341483,747000
HRE-2024-162,Midwest Health Ops Skilled Nursing Facility,Midwest Health Ops,Single Asset,Acquisition,2024-09-02,12800000,17100000,0.75,0.1256,746,2029-08-07,60,0.82,0.115,0.1536,1.22,15640756,1966500
HRE-2024-163,Beacon Capital Senior Housing Facility,Beacon Capital,Single Asset,Acquisition,2025-08-28,19900000,29200000,0.68,0.0939,486,2035-07-07,120,0.67,0.0725,0.1064,1.13,29909990,2117000
HRE-2024-164,Apex Healthcare Medical Office Facility,Apex Healthcare,Single Asset,Acquisition,2025-07-10,12500000,17800000,0.7,0.0816,351,2032-06-03,84,0.66,0.08,0.1139,1.4,18884935,1424000
HRE-2024-165,Midwest Health Ops Senior Housing Portfolio,Midwest Health Ops,Portfolio,Construction,2024-10-16,13000000,24000000,0.54,0.0983,481,2027-10-01,36,0.51,0.09,0.1662,1.69,25282777,2160000
HRE-2024-166,Apex Healthcare Senior Housing Facility,Apex Healthcare,Single Asset,Acquisition,2024-02-19,20000000,29400000,0.68,0.1061,530,2033-12-28,120,0.66,0.09,0.1323,1.25,30446973,2646000
HRE-2024-167,Apex Healthcare Senior Housing Portfolio,Apex Healthcare,Portfolio,Acquisition,2024-07-07,35000000,49300000,0.71,0.0991,479,2029-06-11,60,0.66,0.0857,0.1207,1.22,53424891,4225010
HRE-2024-168,Apex Healthcare Medical Office Portfolio,Apex Healthcare,Portfolio,Acquisition,2024-11-09,35100000,50100000,0.7,0.0848,359,2031-10-04,84,0.7,0.0742,0.1059,1.25,50386115,3717420
HRE-2024-169,Apex Healthcare Skilled Nursing Facility,Apex Healthcare,Single Asset,Acquisition,2024-01-15,16400000,19800000,0.83,0.1259,728,2028-12-19,60,0.82,0.115,0.1388,1.1,19928870,2277000
HRE-2024-170,Silver Care Partners Medical Office Facility,Silver Care Partners,Single Asset,Acquisition,2024-03-23,11800000,18500000,0.64,0.0823,308,2029-02-25,60,0.68,0.0793,0.1243,1.51,17426327,1467050
HRE-2024-171,Midwest Health Ops Life Science Portfolio,Midwest Health Ops,Portfolio,Refinance,2025-10-31,33300000,70900000,0.47,0.0834,379,2035-09-09,120,0.45,0.0653,0.139,1.67,74672805,4629770
HRE-2024-172,Midwest Health Ops Medical Office Facility,Midwest Health Ops,Single Asset,Acquisition,2024-05-29,9400000,15000000,0.63,0.0884,364,2029-05-03,60,0.59,0.08,0.1277,1.44,15926418,1200000
HRE-2024-173,Apex Healthcare Medical Office Portfolio,Apex Healthcare,Portfolio,Refinance,2024-06-21,67600000,105600000,0.64,0.0885,371,2031-05-16,84,0.64,0.08,0.125,1.41,106227753,8448000
HRE-2024-174,Midwest Health Ops Senior Housing Portfolio,Midwest Health Ops,Portfolio,Acquisition,2025-02-26,26800000,43300000,0.62,0.0825,347,2030-01-31,60,0.63,0.0731,0.1181,1.43,42809340,3165230
HRE-2024-175,Midwest Health Ops Senior Housing Facility,Midwest Health Ops,Single Asset,Acquisition,2024-12-09,11800000,18100000,0.65,0.0918,437,2029-11-13,60,0.66,0.0787,0.1207,1.32,17997587,1424470
HRE-2024-176,Silver Care Partners Medical Office Portfolio,Silver Care Partners,Portfolio,Acquisition,2024-01-31,34600000,54100000,0.64,0.0918,386,2029-01-04,60,0.61,0.08,0.1251,1.36,56936218,4328000
HRE-2024-177,Silver Care Partners Skilled Nursing Portfolio,Silver Care Partners,Portfolio,Refinance,2024-05-07,21800000,33500000,0.65,0.1097,583,2029-04-11,60,0.66,0.1018,0.1564,1.43,32965297,3410300
HRE-2024-178,Silver Care Partners Skilled Nursing Portfolio,Silver Care Partners,Portfolio,Acquisition,2024-04-18,77300000,103100000,0.75,0.1235,727,2031-03-13,84,0.7,0.1126,0.1502,1.22,109774016,11609060
HRE-2024-179,Beacon Capital Senior Housing Facility,Beacon Capital,Single Asset,Acquisition,2025-06-02,8900000,13100000,0.68,0.0948,484,2030-05-07,60,0.64,0.09,0.1325,1.4,13903196,1179000
HRE-2024-180,Apex Healthcare Medical Office Portfolio,Apex Healthcare,Portfolio,Refinance,2025-06-20,49400000,70500000,0.7,0.0838,366,2032-05-14,84,0.73,0.08,0.1142,1.36,67346847,5640000
HRE-2024-181,Midwest Health Ops Medical Office Portfolio,Midwest Health Ops,Portfolio,Acquisition,2024-07-24,44600000,66500000,0.67,0.0918,412,2031-06-18,84,0.74,0.08,0.1193,1.3,60476724,5320000
HRE-2024-182,Apex Healthcare Life Science Portfolio,Apex Healthcare,Portfolio,Refinance,2025-01-28,37200000,66400000,0.56,0.0856,366,2030-01-02,60,0.61,0.0764,0.1364,1.59,60525233,5072960
HRE-2024-183,Silver Care Partners Senior Housing Facility,Silver Care Partners,Single Asset,Refinance,2025-10-26,10900000,18500000,0.59,0.0855,402,2032-09-19,84,0.59,0.0782,0.1327,1.55,18354082,1446700
HRE-2024-184,Apex Healthcare Senior Housing Facility,Apex Healthcare,Single Asset,Construction,2024-02-29,15500000,26800000,0.58,0.0943,429,2027-02-13,36,0.54,0.09,0.1556,1.65,28744926,2412000
HRE-2024-185,Apex Healthcare Medical Office Facility,Apex Healthcare,Single Asset,Acquisition,2025-05-27,23900000,32800000,0.73,0.0894,424,2035-04-05,120,0.69,0.08,0.1098,1.23,34573615,2624000
HRE-2024-186,Beacon Capital Senior Housing Portfolio,Beacon Capital,Portfolio,Refinance,2025-10-23,17300000,27500000,0.63,0.082,357,2030-09-27,60,0.66,0.0753,0.1197,1.46,26115141,2070750
HRE-2024-187,Midwest Health Ops Medical Office Facility,Midwest Health Ops,Single Asset,Refinance,2025-06-23,12000000,19000000,0.63,0.0845,383,2035-05-02,120,0.6,0.08,0.1267,1.5,20052433,1520000
HRE-2024-188,Midwest Health Ops Medical Office Portfolio,Midwest Health Ops,Portfolio,Refinance,2025-06-18,49400000,85100000,0.58,0.0807,347,2030-05-23,60,0.56,0.0696,0.1199,1.49,88424376,5922960
HRE-2024-189,Beacon Capital Medical Office Facility,Beacon Capital,Single Asset,Refinance,2024-03-30,10300000,17800000,0.58,0.0856,335,2034-02-06,120,0.57,0.08,0.1383,1.62,17934030,1424000
HRE-2024-190,Silver Care Partners Senior Housing Portfolio,Silver Care Partners,Portfolio,Acquisition,2024-07-02,64700000,98100000,0.66,0.0884,371,2029-06-06,60,0.7,0.0877,0.133,1.5,93087099,8603370
HRE-2024-191,Silver Care Partners Medical Office Facility,Silver Care Partners,Single Asset,Refinance,2024-02-21,6100000,10400000,0.59,0.0865,334,2033-12-30,120,0.56,0.08,0.1364,1.58,10854982,832000
HRE-2024-192,Apex Healthcare Medical Office Facility,Apex Healthcare,Single Asset,Acquisition,2024-08-06,6100000,8900000,0.69,0.0876,365,2029-07-11,60,0.74,0.08,0.1167,1.33,8234909,712000
HRE-2024-193,Apex Healthcare Skilled Nursing Facility,Apex Healthcare,Single Asset,Refinance,2024-10-13,12400000,16100000,0.77,0.1068,566,2029-09-17,60,0.73,0.1076,0.1397,1.31,16912094,1732360
HRE-2024-194,Apex Healthcare Senior Housing Portfolio,Apex Healthcare,Portfolio,Refinance,2025-04-05,46100000,67800000,0.68,0.0864,394,2035-02-12,120,0.64,0.086,0.1265,1.46,72467026,5830799
HRE-2024-195,Apex Healthcare Senior Housing Facility,Apex Healthcare,Single Asset,Acquisition,2024-07-26,14600000,20300000,0.72,0.0968,459,2034-06-04,120,0.75,0.09,0.1251,1.29,19344465,1827000
HRE-2024-196,Midwest Health Ops Skilled Nursing Portfolio,Midwest Health Ops,Portfolio,Construction,2025-07-28,15600000,24300000,0.64,0.1105,643,2028-07-12,36,0.68,0.1115,0.1737,1.57,22979994,2709450
HRE-2024-197,Beacon Capital Medical Office Portfolio,Beacon Capital,Portfolio,Refinance,2025-03-19,33300000,52800000,0.63,0.0831,351,2035-01-26,120,0.65,0.08,0.1268,1.53,51005423,4224000
HRE-2024-198,Silver Care Partners Life Science Facility,Silver Care Partners,Single Asset,Acquisition,2025-08-27,5900000,11300000,0.52,0.0861,404,2030-08-01,60,0.56,0.0755,0.1446,1.68,10630047,853150
HRE-2024-199,Apex Healthcare Senior Housing Portfolio,Apex Healthcare,Portfolio,Acquisition,2024-05-24,25300000,35700000,0.71,0.0966,462,2031-04-18,84,0.67,0.0872,0.123,1.27,37971389,3113040
HRE-2024-200,Midwest Health Ops Medical Office Portfolio,Midwest Health Ops,Portfolio,Acquisition,2024-06-09,21600000,33800000,0.64,0.0892,390,2029-05-14,60,0.63,0.08,0.1252,1.4,34484120,2704000
HRE-2024-201,Silver Care Partners Medical Office Facility,Silver Care Partners,Single Asset,Acquisition,2024-02-04,6400000,9400000,0.68,0.0938,421,2029-01-08,60,0.73,0.08,0.1175,1.25,8732256,752000
HRE-2024-202,Silver Care Partners Medical Office Facility,Silver Care Partners,Single Asset,Refinance,2024-05-25,4900000,8100000,0.61,0.081,306,2031-04-19,84,0.67,0.08,0.1322,1.63,7345498,648000
HRE-2024-203,Beacon Capital Medical Office Portfolio,Beacon Capital,Portfolio,Construction,2025-01-09,33200000,56300000,0.59,0.0909,425,2027-12-25,36,0.54,0.08,0.1357,1.49,60993061,4504000
HRE-2024-204,Apex Healthcare Medical Office Facility,Apex Healthcare,Single Asset,Acquisition,2025-09-02,15900000,22700000,0.7,0.0813,351,2030-08-07,60,0.68,0.08,0.1142,1.4,23323947,1816000
HRE-2024-205,Apex Healthcare Life Science Facility,Apex Healthcare,Single Asset,Acquisition,2024-05-25,18500000,31900000,0.58,0.0791,278,2029-04-29,60,0.64,0.0611,0.1054,1.33,28720760,1949090
HRE-2024-206,Beacon Capital Medical Office Facility,Beacon Capital,Single Asset,Refinance,2025-08-18,7100000,10800000,0.66,0.0792,332,2030-07-23,60,0.67,0.08,0.1217,1.54,10608897,864000
HRE-2024-207,Silver Care Partners Medical Office Facility,Silver Care Partners,Single Asset,Construction,2024-10-20,23800000,41100000,0.58,0.0901,406,2027-10-05,36,0.56,0.08,0.1382,1.53,42837651,3288000
HRE-2024-208,Beacon Capital Medical Office Facility,Beacon Capital,Single Asset,Construction,2024-11-09,6400000,10100000,0.63,0.094,447,2027-10-25,36,0.64,0.08,0.1263,1.34,9993531,808000
HRE-2024-209,Silver Care Partners Senior Housing Facility,Silver Care Partners,Single Asset,Refinance,2025-02-11,15800000,26400000,0.6,0.0841,355,2032-01-06,84,0.66,0.0818,0.1367,1.63,23779717,2159520
HRE-2024-210,Apex Healthcare Life Science Facility,Apex Healthcare,Single Asset,Acquisition,2024-08-15,32600000,53400000,0.61,0.099,487,2034-06-24,120,0.64,0.0849,0.1391,1.4,51261143,4533660
HRE-2024-211,Midwest Health Ops Medical Office Facility,Midwest Health Ops,Single Asset,Refinance,2024-07-17,6200000,10300000,0.6,0.0811,315,2031-06-11,84,0.59,0.0699,0.1161,1.43,10464421,719970
HRE-2024-212,Midwest Health Ops Life Science Facility,Midwest Health Ops,Single Asset,Acquisition,2024-05-19,10900000,19400000,0.56,0.0923,414,2031-04-13,84,0.55,0.0784,0.1395,1.51,19858050,1520960
HRE-2024-213,Apex Healthcare Medical Office Portfolio,Apex Healthcare,Portfolio,Refinance,2024-08-28,14400000,23300000,0.62,0.0869,372,2031-07-23,84,0.62,0.08,0.1294,1.49,23365890,1864000
HRE-2024-214,Beacon Capital Life Science Facility,Beacon Capital,Single Asset,Acquisition,2024-12-03,7300000,11700000,0.62,0.0799,318,2031-10-28,84,0.57,0.0785,0.1258,1.57,12750391,918450
HRE-2024-215,Midwest Health Ops Medical Office Facility,Midwest Health Ops,Single Asset,Refinance,2024-07-06,9300000,14600000,0.64,0.0882,366,2029-06-10,60,0.69,0.08,0.1256,1.42,13500216,1168000
HRE-2024-216,Beacon Capital Skilled Nursing Facility,Beacon Capital,Single Asset,Refinance,2025-05-27,21100000,27800000,0.76,0.1048,577,2030-05-01,60,0.76,0.0945,0.1245,1.19,27814817,2627100
HRE-2024-217,Silver Care Partners Medical Office Facility,Silver Care Partners,Single Asset,Acquisition,2024-11-29,24900000,38900000,0.64,0.0866,371,2029-11-03,60,0.6,0.08,0.125,1.44,41279714,3112000
HRE-2024-218,Beacon Capital Senior Housing Facility,Beacon Capital,Single Asset,Construction,2025-05-09,29000000,56900000,0.51,0.0871,408,2028-04-23,36,0.52,0.0762,0.1495,1.72,55741014,4335780
HRE-2024-219,Apex Healthcare Skilled Nursing Portfolio,Apex Healthcare,Portfolio,Acquisition,2024-08-23,21900000,28800000,0.76,0.1145,644,2034-07-02,120,0.83,0.115,0.1512,1.32,26357247,3312000
HRE-2024-220,Midwest Health Ops Senior Housing Facility,Midwest Health Ops,Single Asset,Refinance,2025-04-01,8800000,13800000,0.64,0.0945,464,2032-02-24,84,0.59,0.09,0.1411,1.49,14823750,1242000
HRE-2024-221,Midwest Health Ops Life Science Facility,Midwest Health Ops,Single Asset,Refinance,2024-01-29,7900000,16100000,0.49,0.081,285,2030-12-23,84,0.46,0.0733,0.1494,1.84,17043821,1180130
HRE-2024-222,Midwest Health Ops Life Science Facility,Midwest Health Ops,Single Asset,Refinance,2024-03-18,20300000,39800000,0.51,0.1018,489,2029-02-20,60,0.51,0.085,0.1667,1.64,39856359,3383000
HRE-2024-223,Beacon Capital Senior Housing Facility,Beacon Capital,Single Asset,Refinance,2024-03-29,9700000,15900000,0.61,0.0879,359,2029-03-03,60,0.66,0.0856,0.1403,1.6,14798865,1361040
HRE-2024-224,Apex Healthcare Medical Office Facility,Apex Healthcare,Single Asset,Acquisition,2024-09-27,14300000,19800000,0.72,0.092,426,2031-08-22,84,0.68,0.08,0.1108,1.2,20991999,1584000
HRE-2024-225,Midwest Health Ops Skilled Nursing Portfolio,Midwest Health Ops,Portfolio,Acquisition,2025-05-30,14100000,18500000,0.76,0.1219,741,2035-04-08,120,0.7,0.115,0.1509,1.24,20246541,2127500
HRE-2024-226,Beacon Capital Medical Office Facility,Beacon Capital,Single Asset,Refinance,2024-07-06,10700000,15800000,0.68,0.0845,331,2031-05-31,84,0.74,0.08,0.1181,1.4,14460587,1264000
