Property_ID,Deal_ID,Address,City,State,Asset_Type,Appraised_Value,Cap_Rate,Detailed_Type
HRE-2024-111-P5,HRE-2024-111,382 Roman Circle,Mooreshire,ID,Medical Office,10000,0.0817,Medical Office
HRE-2024-111-P6,HRE-2024-111,840 Patrick Pine,Brittanyshire,NM,Medical Office,13720000,0.0818,Medical Office
HRE-2024-111-P7,HRE-2024-111,856 Brenda Radial,South Brianland,TX,Medical Office,3580000,0.0795,Medical Office
HRE-2024-112-P1,HRE-2024-112,981 Ashley Place,New Daniel,GA,Senior Housing,23900000,0.0907,Senior Housing
HRE-2024-113-P1,HRE-2024-113,807 Jacob Estate,Simmonsside,CO,Senior Housing,15400000,0.0866,Senior Housing
HRE-2024-114-P1,HRE-2024-114,516 Martin Mountains,South Travis,NC,Senior Housing,58000000,0.0899,Senior Housing
HRE-2024-115-P1,HRE-2024-115,394 Collins Key,Matthewport,MD,Life Science,18400000,0.0836,Life Science
HRE-2024-116-P1,HRE-2024-116,898 Kimberly Isle,Smithview,SC,Life Science,12500000,0.0639,Life Science
HRE-2024-117-P1,HRE-2024-117,482 Riley Union,Mannburgh,OR,Senior Housing,6700000,0.0884,Senior Housing
HRE-2024-117-P2,HRE-2024-117,619 Alec Skyway,Tammyland,CT,Senior Housing,5900000,0.0887,Senior Housing
HRE-2024-117-P3,HRE-2024-117,534 Cathy Glen,South Juliemouth,WV,Senior Housing,540000,0.0915,Senior Housing
HRE-2024-117-P4,HRE-2024-117,790 Hanson Stravenue,West Toni,SD,Senior Housing,2660000,0.0883,Senior Housing
HRE-2024-117-P5,HRE-2024-117,149 Rogers Inlet,Kathrynburgh,NV,Senior Housing,11910000,0.0909,Senior Housing
HRE-2024-118-P1,HRE-2024-118,524 Dalton Turnpike,Chaneytown,NV,Medical Office,780000,0.0817,Medical Office
HRE-2024-118-P2,HRE-2024-118,410 Thompson Bypass,West Molly,MN,Medical Office,1030000,0.0816,Medical Office
HRE-2024-118-P3,HRE-2024-118,197 Smith Manor,Parkerport,CT,Medical Office,5380000,0.0791,Medical Office
HRE-2024-118-P4,HRE-2024-118,416 Boyd Key,North Jennifer,UT,Medical Office,1900000,0.078,Medical Office
HRE-2024-118-P5,HRE-2024-118,823 Stone Loop,South Cathyshire,AS,Medical Office,8880000,0.0796,Medical Office
HRE-2024-118-P6,HRE-2024-118,168 Michelle Bypass,Warnertown,TN,Medical Office,7570000,0.0784,Medical Office
HRE-2024-118-P7,HRE-2024-118,236 Spencer Fall,Barneston,NY,Medical Office,7580000,0.0793,Medical Office
HRE-2024-118-P8,HRE-2024-118,203 Michelle Causeway,North Lacey,GU,Medical Office,4630000,0.0819,Medical Office
HRE-2024-118-P9,HRE-2024-118,677 Ricky Mission,Thomashaven,PR,Medical Office,1080000,0.0814,Medical Office
HRE-2024-118-P10,HRE-2024-118,22 Cameron Ramp,East Brian,VA,Medical Office,6480000,0.0818,Medical Office
HRE-2024-118-P11,HRE-2024-118,865 Gordon Inlet,Gonzalezport,MO,Medical Office,50000,0.0818,Medical Office
HRE-2024-118-P12,HRE-2024-118,916 Hunt Throughway,Lauramouth,TX,Medical Office,11630000,0.0795,Medical Office
HRE-2024-119-P1,HRE-2024-119,265 Tyler Gateway,North Frankmouth,PW,Skilled Nursing,27200000,0.1133,Skilled Nursing
HRE-2024-120-P1,HRE-2024-120,859 Ramos Groves,Jonestown,WA,Medical Office,11800000,0.0793,Medical Office
HRE-2024-121-P1,HRE-2024-121,336 Christopher Village,Jonland,NM,Senior Housing,15840000,0.0908,Senior Housing
HRE-2024-121-P2,HRE-2024-121,1 Bennett Parkway,Williamsmouth,AR,Senior Housing,10500000,0.0903,Senior Housing
HRE-2024-121-P3,HRE-2024-121,509 Gonzalez Key,West Wayneview,OH,Senior Housing,12770000,0.0903,Senior Housing
HRE-2024-121-P4,HRE-2024-121,317 Mendoza Parkway,Kristenbury,MO,Senior Housing,19870000,0.0912,Senior Housing
HRE-2024-121-P5,HRE-2024-121,741 Travis Fall,Shirleymouth,NH,Senior Housing,36740000,0.0914,Senior Housing
HRE-2024-121-P6,HRE-2024-121,910 Lewis Inlet,East Justin,PW,Senior Housing,160000,0.0897,Senior Housing
HRE-2024-121-P7,HRE-2024-121,697 Dominique Stravenue,East Michelle,VA,Senior Housing,280000,0.0918,Senior Housing
HRE-2024-121-P8,HRE-2024-121,892 Harold Estate,Hollybury,PW,Senior Housing,3240000,0.0906,Senior Housing
HRE-2024-122-P1,HRE-2024-122,657 Harry Curve,Lake Marymouth,CA,Life Science,17430000,0.0809,Life Science
HRE-2024-122-P2,HRE-2024-122,305 Andrew Streets,Jenniferland,CO,Life Science,28270000,0.0827,Life Science
HRE-2024-122-P3,HRE-2024-122,367 Bray Turnpike,Port Joshuashire,WA,Life Science,21800000,0.0809,Life Science
HRE-2024-122-P4,HRE-2024-122,888 Lopez Road,North Amberburgh,HI,Life Science,5230000,0.0836,Life Science
HRE-2024-122-P5,HRE-2024-122,7 Daniel Brooks,North Allen,WA,Life Science,14430000,0.0817,Life Science
HRE-2024-122-P6,HRE-2024-122,114 Stevenson Camp,New Kimberly,NE,Life Science,350000,0.081,Life Science
HRE-2024-123-P1,HRE-2024-123,743 Ashley Falls,Roweborough,NY,Medical Office,13000000,0.0738,Medical Office
HRE-2024-124-P1,HRE-2024-124,973 Benjamin Plaza,Port Amandachester,AL,Medical Office,11700000,0.0688,Medical Office
HRE-2024-125-P1,HRE-2024-125,721 Charles Terrace,West Kristentown,GA,Senior Housing,8000000,0.0894,Senior Housing
HRE-2024-126-P1,HRE-2024-126,788 Joshua Garden,Dawnstad,WA,Senior Housing,8000000,0.0894,Senior Housing
HRE-2024-127-P1,HRE-2024-127,687 Bowen Shore,South Christopherside,NV,Medical Office,23200000,0.0769,Medical Office
HRE-2024-128-P1,HRE-2024-128,874 Melvin Glens,South Amandaburgh,VA,Senior Housing,18900000,0.0897,Senior Housing
HRE-2024-129-P1,HRE-2024-129,931 Jackson Coves,Port Sarah,RI,Medical Office,20900000,0.08,Medical Office
HRE-2024-130-P1,HRE-2024-130,280 Ochoa Shoal,West Chelsea,KS,Skilled Nursing,17200000,0.1141,Skilled Nursing
HRE-2024-131-P1,HRE-2024-131,417 Donald Vista,South William,MP,Life Science,12400000,0.0835,Life Science
HRE-2024-132-P1,HRE-2024-132,918 Gray Dam,Richardsland,SD,Medical Office,22400000,0.0792,Medical Office
HRE-2024-133-P1,HRE-2024-133,946 Butler Flat,Williamchester,HI,Medical Office,1360000,0.0784,Medical Office
HRE-2024-133-P2,HRE-2024-133,150 Mason Mountains,New John,VA,Medical Office,2780000,0.0812,Medical Office
HRE-2024-133-P3,HRE-2024-133,104 Mark Causeway,South Tiffanybury,AZ,Medical Office,2800000,0.0811,Medical Office
HRE-2024-133-P4,HRE-2024-133,766 Shannon Center,West Andrew,NH,Medical Office,4900000,0.0788,Medical Office
HRE-2024-133-P5,HRE-2024-133,609 Torres Corners,Lake Larryberg,MN,Medical Office,30000,0.0788,Medical Office
HRE-2024-133-P6,HRE-2024-133,47 Cordova Flat,New Larry,NE,Medical Office,870000,0.079,Medical Office
HRE-2024-133-P7,HRE-2024-133,414 Michael Valleys,Castroburgh,GA,Medical Office,3500000,0.0806,Medical Office
HRE-2024-133-P8,HRE-2024-133,939 Scott Via,West Ashleystad,MA,Medical Office,7450000,0.0786,Medical Office
HRE-2024-133-P9,HRE-2024-133,631 Leblanc Club,West Todd,NE,Medical Office,220000,0.0808,Medical Office
HRE-2024-133-P10,HRE-2024-133,317 Matthew Neck,West Paulfort,NE,Medical Office,5580000,0.0786,Medical Office
HRE-2024-134-P1,HRE-2024-134,942 Joshua Branch,Chelseamouth,OK,Skilled Nursing,30400000,0.1169,Skilled Nursing
HRE-2024-135-P1,HRE-2024-135,779 Gross Inlet,North Tiffanyborough,ID,Senior Housing,14300000,0.0881,Senior Housing
HRE-2024-136-P1,HRE-2024-136,974 Lewis Wells,Victoriahaven,DE,Medical Office,16400000,0.081,Medical Office
HRE-2024-137-P1,HRE-2024-137,155 Alan Alley,West Alyssa,HI,Medical Office,16000000,0.0804,Medical Office
HRE-2024-138-P1,HRE-2024-138,875 Anderson Track,Smithton,ND,Medical Office,23000000,0.0813,Medical Office
HRE-2024-139-P1,HRE-2024-139,485 Smith Rue,Port Susan,IA,Life Science,12700000,0.0812,Life Science
HRE-2024-140-P1,HRE-2024-140,108 Sosa Circles,New Wanda,AR,Medical Office,14500000,0.0792,Medical Office
HRE-2024-141-P1,HRE-2024-141,313 Ann Road,North Ericaton,FL,Skilled Nursing,10340000,0.1136,Skilled Nursing
HRE-2024-141-P2,HRE-2024-141,771 Smith Forges,Port Karen,PR,Skilled Nursing,8400000,0.1133,Skilled Nursing
HRE-2024-141-P3,HRE-2024-141,981 Williams Lodge,Rodriguezton,VA,Skilled Nursing,2690000,0.1155,Skilled Nursing
HRE-2024-141-P4,HRE-2024-141,71 Smith Trace,North Suzanneton,VT,Skilled Nursing,13630000,0.1144,Skilled Nursing
HRE-2024-141-P5,HRE-2024-141,676 Rocha Canyon,Emilyhaven,UT,Skilled Nursing,12350000,0.117,Skilled Nursing
HRE-2024-141-P6,HRE-2024-141,410 Johnson Walk,Jimmytown,CA,Skilled Nursing,2520000,0.1133,Skilled Nursing
HRE-2024-141-P7,HRE-2024-141,450 Brooks Rapid,West Alexandertown,MI,Skilled Nursing,1470000,0.1145,Skilled Nursing
HRE-2024-142-P1,HRE-2024-142,905 Susan Mews,Jacobsburgh,KS,Medical Office,8000000,0.0662,Medical Office
HRE-2024-143-P1,HRE-2024-143,704 Michael Ford,New David,NH,Medical Office,8250000,0.0793,Medical Office
HRE-2024-143-P2,HRE-2024-143,848 Perez Brooks,Penafurt,GU,Medical Office,9490000,0.0787,Medical Office
HRE-2024-143-P3,HRE-2024-143,984 Toni Summit,West Ashley,MS,Medical Office,5950000,0.0785,Medical Office
HRE-2024-143-P4,HRE-2024-143,508 Eugene Spring,Port Amandaberg,MA,Medical Office,110000,0.0819,Medical Office
HRE-2024-144-P1,HRE-2024-144,688 Eric Falls,Maryland,GA,Senior Housing,17100000,0.0904,Senior Housing
HRE-2024-145-P1,HRE-2024-145,231 Jeffrey Roads,Richardtown,NM,Medical Office,23900000,0.0694,Medical Office
HRE-2024-146-P1,HRE-2024-146,778 Mitchell Shoal,Aprilstad,DC,Medical Office,36780000,0.071,Medical Office
HRE-2024-146-P2,HRE-2024-146,90 Williams Mills,Brittanyhaven,GU,Medical Office,15360000,0.0715,Medical Office
HRE-2024-146-P3,HRE-2024-146,646 Gomez Forest,Carriehaven,UT,Medical Office,4790000,0.0715,Medical Office
HRE-2024-146-P4,HRE-2024-146,518 Pena Villages,North Juan,IL,Medical Office,14570000,0.0733,Medical Office
HRE-2024-147-P1,HRE-2024-147,484 Amy Stravenue,Taylorbury,KY,Senior Housing,30900000,0.074,Senior Housing
HRE-2024-148-P1,HRE-2024-148,876 Gomez Square,Michaelchester,NM,Medical Office,7600000,0.072,Medical Office
HRE-2024-148-P2,HRE-2024-148,264 Susan Locks,Zhangstad,MO,Medical Office,12170000,0.0728,Medical Office
HRE-2024-148-P3,HRE-2024-148,833 Ruiz Station,Frankhaven,GA,Medical Office,12720000,0.0746,Medical Office
HRE-2024-148-P4,HRE-2024-148,414 Long Creek,South Calvinchester,MN,Medical Office,7410000,0.0744,Medical Office
HRE-2024-149-P1,HRE-2024-149,63 Scott Road,Reyeschester,ND,Medical Office,11900000,0.0789,Medical Office
HRE-2024-150-P1,HRE-2024-150,484 Weaver Neck,Skinnerborough,AZ,Skilled Nursing,12500000,0.105,Skilled Nursing
HRE-2024-151-P1,HRE-2024-151,51 Hughes Burg,Taylorborough,FL,Senior Housing,28500000,0.0897,Senior Housing
HRE-2024-152-P1,HRE-2024-152,138 Kyle Inlet,Spearshaven,WI,Skilled Nursing,26100000,0.1153,Skilled Nursing
HRE-2024-153-P1,HRE-2024-153,553 Graham Parkways,Princebury,MO,Medical Office,8350000,0.0814,Medical Office
HRE-2024-153-P2,HRE-2024-153,531 Amber Ramp,Jonestown,MI,Medical Office,2080000,0.0803,Medical Office
HRE-2024-153-P3,HRE-2024-153,190 Smith Throughway,Longmouth,DC,Medical Office,3700000,0.0796,Medical Office
HRE-2024-153-P4,HRE-2024-153,154 Martinez Way,Lake Joshuaport,TN,Medical Office,5040000,0.0806,Medical Office
HRE-2024-153-P5,HRE-2024-153,882 Jeffery Pine,South Dawn,WV,Medical Office,1830000,0.0788,Medical Office
HRE-2024-153-P6,HRE-2024-153,968 Harrell Station,Lake Nicole,CA,Medical Office,5210000,0.0813,Medical Office
HRE-2024-153-P7,HRE-2024-153,408 Tyler Walk,East Tylerport,NC,Medical Office,5680000,0.0793,Medical Office
HRE-2024-153-P8,HRE-2024-153,614 Barbara Walks,South Kimberly,FL,Medical Office,1010000,0.0812,Medical Office
HRE-2024-153-P9,HRE-2024-153,992 Wilson Tunnel,Freemanhaven,AK,Medical Office,2400000,0.0793,Medical Office
HRE-2024-154-P1,HRE-2024-154,680 Ian Ville,New Charles,MA,Skilled Nursing,11500000,0.115,Skilled Nursing
HRE-2024-155-P1,HRE-2024-155,239 Diana Shores,Bauermouth,WY,Medical Office,23800000,0.0804,Medical Office
HRE-2024-156-P1,HRE-2024-156,35 Frank Cliff,Lake Michael,ND,Life Science,21400000,0.0696,Life Science
HRE-2024-157-P1,HRE-2024-157,109 Bryant Ports,Sheilaport,OK,Life Science,1570000,0.0847,Life Science
HRE-2024-157-P2,HRE-2024-157,688 Barber Road,South Hannah,NY,Life Science,14070000,0.0832,Life Science
HRE-2024-157-P3,HRE-2024-157,93 Harris Turnpike,East Ashleyshire,SD,Life Science,620000,0.0858,Life Science
HRE-2024-157-P4,HRE-2024-157,428 Amy Lodge,Richardstad,WI,Life Science,3620000,0.0832,Life Science
HRE-2024-157-P5,HRE-2024-157,275 Kimberly Valleys,East Tiffany,GA,Life Science,660000,0.0846,Life Science
HRE-2024-157-P6,HRE-2024-157,410 Jason Ford,East Joseph,CT,Life Science,7070000,0.085,Life Science
HRE-2024-157-P7,HRE-2024-157,541 Luna Hollow,Johnburgh,VT,Life Science,2920000,0.0853,Life Science
HRE-2024-157-P8,HRE-2024-157,946 Amanda Via,West Sabrinamouth,NY,Life Science,2010000,0.0864,Life Science
HRE-2024-157-P9,HRE-2024-157,86 Jacqueline Street,Port Jacobbury,AZ,Life Science,760000,0.0869,Life Science
HRE-2024-157-P10,HRE-2024-157,904 Melanie Tunnel,Lake Matthew,LA,Life Science,50000,0.0838,Life Science
HRE-2024-157-P11,HRE-2024-157,460 Park Springs,Johnnymouth,FL,Life Science,2560000,0.0857,Life Science
HRE-2024-157-P12,HRE-2024-157,744 Sheena Mountain,New Stevenmouth,AL,Life Science,290000,0.0866,Life Science
HRE-2024-158-P1,HRE-2024-158,302 Roman Springs,Richardsonmouth,MP,Senior Housing,9540000,0.0867,Senior Housing
HRE-2024-158-P2,HRE-2024-158,618 Jones Corner,Charleneland,MD,Senior Housing,880000,0.0867,Senior Housing
HRE-2024-158-P3,HRE-2024-158,249 Gloria Pines,New Robinshire,AK,Senior Housing,2210000,0.0873,Senior Housing
HRE-2024-158-P4,HRE-2024-158,492 Cooper Forges,Lake Henryshire,CT,Senior Housing,4790000,0.0858,Senior Housing
HRE-2024-158-P5,HRE-2024-158,821 Angela Inlet,North Jesse,NY,Senior Housing,2990000,0.0857,Senior Housing
HRE-2024-158-P6,HRE-2024-158,221 Freeman Stream,South Catherinemouth,CO,Senior Housing,3340000,0.085,Senior Housing
HRE-2024-158-P7,HRE-2024-158,555 Pena Valley,South Stevenmouth,ID,Senior Housing,3740000,0.0843,Senior Housing
HRE-2024-159-P1,HRE-2024-159,415 Amy Mountains,West Richard,VA,Life Science,5040000,0.0745,Life Science
HRE-2024-159-P2,HRE-2024-159,721 Lisa Forest,South Kristenfurt,GA,Life Science,2660000,0.0733,Life Science
HRE-2024-159-P3,HRE-2024-159,377 Shannon Knoll,West Donald,ME,Life Science,24330000,0.0755,Life Science
HRE-2024-159-P4,HRE-2024-159,405 Mckay Ports,Rojasfort,NM,Life Science,2950000,0.0754,Life Science
HRE-2024-159-P5,HRE-2024-159,279 Mullins Crescent,Heatherville,DC,Life Science,2890000,0.0766,Life Science
HRE-2024-159-P6,HRE-2024-159,126 Hill Lakes,Port Charlesberg,MS,Life Science,4860000,0.0744,Life Science
HRE-2024-159-P7,HRE-2024-159,920 Campbell Turnpike,New Alex,NY,Life Science,540000,0.0731,Life Science
HRE-2024-159-P8,HRE-2024-159,213 Heather Ridges,Port Richardport,MT,Life Science,5920000,0.0759,Life Science
HRE-2024-160-P1,HRE-2024-160,73 Douglas Cliffs,East Jeffrey,IA,Medical Office,15100000,0.076,Medical Office
HRE-2024-161-P1,HRE-2024-161,90 Kimberly Crescent,Michaelberg,HI,Senior Housing,8300000,0.0889,Senior Housing
HRE-2024-162-P1,HRE-2024-162,327 Sylvia Mall,Lake Christina,OK,Skilled Nursing,17100000,0.115,Skilled Nursing
HRE-2024-163-P1,HRE-2024-163,806 Murray Islands,Yangton,IA,Senior Housing,29200000,0.072,Senior Housing
HRE-2024-164-P1,HRE-2024-164,609 Frederick Springs,Spencertown,MI,Medical Office,17800000,0.0784,Medical Office
HRE-2024-165-P1,HRE-2024-165,260 Moore Grove,East Jeffrey,NY,Senior Housing,1700000,0.0906,Senior Housing
HRE-2024-165-P2,HRE-2024-165,921 Bobby Views,Melissaland,CO,Senior Housing,990000,0.0902,Senior Housing
HRE-2024-165-P3,HRE-2024-165,619 Young Wells,New Kevin,OK,Senior Housing,1020000,0.0897,Senior Housing
HRE-2024-165-P4,HRE-2024-165,469 Wright Dale,Leemouth,NV,Senior Housing,2930000,0.0887,Senior Housing
HRE-2024-165-P5,HRE-2024-165,815 Brown Union,East Rebecca,SC,Senior Housing,2110000,0.0884,Senior Housing
HRE-2024-165-P6,HRE-2024-165,541 Chen Ville,Joelborough,UT,Senior Housing,9480000,0.089,Senior Housing
HRE-2024-165-P7,HRE-2024-165,922 Matthew Vista,Jonesside,VA,Senior Housing,2290000,0.0893,Senior Housing
HRE-2024-165-P8,HRE-2024-165,914 Sandra Radial,Shawnmouth,AL,Senior Housing,330000,0.0917,Senior Housing
HRE-2024-165-P9,HRE-2024-165,549 Warner Crest,Bryanberg,UT,Senior Housing,2500000,0.0919,Senior Housing
HRE-2024-165-P10,HRE-2024-165,235 Jeffrey Circle,Lindseyborough,UT,Senior Housing,660000,0.0902,Senior Housing
HRE-2024-166-P1,HRE-2024-166,274 Allen Locks,Lake Matthewborough,CT,Senior Housing,29400000,0.0884,Senior Housing
HRE-2024-167-P1,HRE-2024-167,586 Hansen Harbor,Barnesburgh,AZ,Senior Housing,4280000,0.0838,Senior Housing
HRE-2024-167-P2,HRE-2024-167,735 Miller Gardens,South Sandra,ID,Senior Housing,5810000,0.0848,Senior Housing
HRE-2024-167-P3,HRE-2024-167,205 Williams Motorway,Port Marystad,AR,Senior Housing,10950000,0.0859,Senior Housing
HRE-2024-167-P4,HRE-2024-167,186 Justin Spur,Lake Natalie,ND,Senior Housing,6310000,0.0843,Senior Housing
HRE-2024-167-P5,HRE-2024-167,467 Kelli Fall,Lake Michaelport,IN,Senior Housing,21280000,0.0863,Senior Housing
HRE-2024-167-P6,HRE-2024-167,617 Chad Crescent,South Justinside,TN,Senior Housing,670000,0.0858,Senior Housing
HRE-2024-168-P1,HRE-2024-168,311 Perez Gateway,North Stephanie,NY,Medical Office,4040000,0.0754,Medical Office
HRE-2024-168-P2,HRE-2024-168,228 Roberson Crest,South Ronniestad,PA,Medical Office,19150000,0.0731,Medical Office
HRE-2024-168-P3,HRE-2024-168,200 Shawn Place,East Melaniehaven,WY,Medical Office,8720000,0.0737,Medical Office
HRE-2024-168-P4,HRE-2024-168,280 Morton Mountains,East Ronnie,PW,Medical Office,5490000,0.0742,Medical Office
HRE-2024-168-P5,HRE-2024-168,326 Mathis Keys,Scottchester,OR,Medical Office,12700000,0.0741,Medical Office
HRE-2024-169-P1,HRE-2024-169,733 Kimberly Views,Beverlymouth,TX,Skilled Nursing,19800000,0.1145,Skilled Nursing
HRE-2024-170-P1,HRE-2024-170,529 Tricia Square,Vanessashire,AS,Medical Office,18500000,0.0784,Medical Office
HRE-2024-171-P1,HRE-2024-171,820 Black Walks,East Andrew,OH,Life Science,31660000,0.0644,Life Science
HRE-2024-171-P2,HRE-2024-171,208 Pamela Court,Samanthaburgh,KY,Life Science,4390000,0.0657,Life Science
HRE-2024-171-P3,HRE-2024-171,5 Kevin Vista,North Melanieview,MS,Life Science,7800000,0.0659,Life Science
HRE-2024-171-P4,HRE-2024-171,330 David Port,South Michael,PW,Life Science,27050000,0.0671,Life Science
HRE-2024-172-P1,HRE-2024-172,282 Susan Junctions,North Stacyport,NC,Medical Office,15000000,0.0794,Medical Office
HRE-2024-173-P1,HRE-2024-173,256 Nicholas Locks,Garciaburgh,DE,Medical Office,47010000,0.0803,Medical Office
HRE-2024-173-P2,HRE-2024-173,732 Madison Vista,Warrenport,TX,Medical Office,23350000,0.0808,Medical Office
HRE-2024-173-P3,HRE-2024-173,261 Stewart Groves,Willieberg,MD,Medical Office,6730000,0.0788,Medical Office
HRE-2024-173-P4,HRE-2024-173,891 Munoz Court,New Joshua,NH,Medical Office,14740000,0.08,Medical Office
HRE-2024-173-P5,HRE-2024-173,791 Smith Loaf,Lake Stevenborough,IL,Medical Office,1190000,0.0819,Medical Office
HRE-2024-173-P6,HRE-2024-173,10 Kristin Street,East Kimberlystad,OR,Medical Office,11730000,0.0807,Medical Office
HRE-2024-173-P7,HRE-2024-173,202 Greene Plaza,New Vincentfort,SC,Medical Office,850000,0.0802,Medical Office
HRE-2024-174-P1,HRE-2024-174,459 Solis Burgs,Port Wayne,OK,Senior Housing,6050000,0.0727,Senior Housing
HRE-2024-174-P2,HRE-2024-174,84 Michael Circle,North Mark,MO,Senior Housing,1380000,0.074,Senior Housing
HRE-2024-174-P3,HRE-2024-174,353 Green Meadows,Catherineberg,MI,Senior Housing,3700000,0.072,Senior Housing
HRE-2024-174-P4,HRE-2024-174,230 Jessica Forks,Port Connie,IN,Senior Housing,860000,0.0731,Senior Housing
HRE-2024-174-P5,HRE-2024-174,435 Lee Causeway,Alvarezburgh,WY,Senior Housing,2360000,0.0732,Senior Housing
HRE-2024-174-P6,HRE-2024-174,209 Alyssa Via,New Brian,AK,Senior Housing,6210000,0.072,Senior Housing
HRE-2024-174-P7,HRE-2024-174,351 Tucker Trail,Bellburgh,VT,Senior Housing,870000,0.0718,Senior Housing
HRE-2024-174-P8,HRE-2024-174,998 Catherine Ridges,Samuelchester,AS,Senior Housing,2820000,0.073,Senior Housing
HRE-2024-174-P9,HRE-2024-174,169 Daniel Shoals,West Bradley,MH,Senior Housing,7300000,0.0726,Senior Housing
HRE-2024-174-P10,HRE-2024-174,68 Davis Plaza,Joseton,PA,Senior Housing,350000,0.0745,Senior Housing
HRE-2024-174-P11,HRE-2024-174,320 Ross Brook,North Teresa,CA,Senior Housing,5780000,0.0734,Senior Housing
HRE-2024-174-P12,HRE-2024-174,280 Jeffery Lakes,Destinyshire,VI,Senior Housing,5600000,0.0735,Senior Housing
HRE-2024-175-P1,HRE-2024-175,11 Stark Station,Robertsonfort,DC,Senior Housing,18100000,0.0778,Senior Housing
HRE-2024-176-P1,HRE-2024-176,452 Samuel Junction,Alexland,KY,Medical Office,23750000,0.0818,Medical Office
HRE-2024-176-P2,HRE-2024-176,549 Chad Mission,East Andrea,MS,Medical Office,640000,0.0807,Medical Office
